chapter_id,chapter_title,chapter_theme,chapter_name,chapter_story,clear_achv_ico,clear_achv_title,prefix,meaning,school,rule,assimilation_group,scene,root,word,cn,difficulty
chap_neg,幻境与反击,negative,否定类,镜中世界布满幻象！掌握否定前缀的力量才能识破幻术/净化污染/反弹攻击,🪞,幻境克星,anti-,反对/对抗 (against),🛡️反击派,,,举起盾牌反弹敌人的特殊攻击！,body,antibody,抗体,1
chap_neg,幻境与反击,negative,否定类,镜中世界布满幻象！掌握否定前缀的力量才能识破幻术/净化污染/反弹攻击,🪞,幻境克星,anti-,反对/对抗 (against),🛡️反击派,,,举起盾牌反弹敌人的特殊攻击！,virus,antivirus,杀毒软件,1
chap_neg,幻境与反击,negative,否定类,镜中世界布满幻象！掌握否定前缀的力量才能识破幻术/净化污染/反弹攻击,🪞,幻境克星,anti-,反对/对抗 (against),🛡️反击派,,,举起盾牌反弹敌人的特殊攻击！,social,antisocial,反社会的,2
chap_neg,幻境与反击,negative,否定类,镜中世界布满幻象！掌握否定前缀的力量才能识破幻术/净化污染/反弹攻击,🪞,幻境克星,counter-,相反/反击 (in return),🛡️反击派,,,看穿敌方动作发动反向打击！,attack,counterattack,反击,2
chap_neg,幻境与反击,negative,否定类,镜中世界布满幻象！掌握否定前缀的力量才能识破幻术/净化污染/反弹攻击,🪞,幻境克星,counter-,相反/反击 (in return),🛡️反击派,,,看穿敌方动作发动反向打击！,clockwise,counterclockwise,逆时针的,2
chap_neg,幻境与反击,negative,否定类,镜中世界布满幻象！掌握否定前缀的力量才能识破幻术/净化污染/反弹攻击,🪞,幻境克星,contra-,相反 (opposite),🛡️反击派,,,在镜像迷宫中反驳幻象的谎言！,dict,contradict,反驳,2
chap_neg,幻境与反击,negative,否定类,镜中世界布满幻象！掌握否定前缀的力量才能识破幻术/净化污染/反弹攻击,🪞,幻境克星,contra-,相反 (opposite),🛡️反击派,,,在镜像迷宫中反驳幻象的谎言！,st,contrast,对比；对照,2
chap_neg,幻境与反击,negative,否定类,镜中世界布满幻象！掌握否定前缀的力量才能识破幻术/净化污染/反弹攻击,🪞,幻境克星,dis-,不/取消 (not/undo),🔮破除派,,,挥动魔杖解除魔法封印！,agree,disagree,不同意,1
chap_neg,幻境与反击,negative,否定类,镜中世界布满幻象！掌握否定前缀的力量才能识破幻术/净化污染/反弹攻击,🪞,幻境克星,dis-,不/取消 (not/undo),🔮破除派,,,挥动魔杖解除魔法封印！,appear,disappear,消失,1
chap_neg,幻境与反击,negative,否定类,镜中世界布满幻象！掌握否定前缀的力量才能识破幻术/净化污染/反弹攻击,🪞,幻境克星,dis-,不/取消 (not/undo),🔮破除派,,,挥动魔杖解除魔法封印！,cover,discover,发现,1
